,product,year,month,price,date
80,"Куры охлажденные и мороженые, кг",2025,июнь,345.73,2025-06-01
81,"Куры охлажденные и мороженые, кг",2025,июль,348.84,2025-07-01
82,"Куры охлажденные и мороженые, кг",2025,август,350.47,2025-08-01
83,"Куры охлажденные и мороженые, кг",2025,сентябрь,351.25,2025-09-01
84,"Свинина бескостная, кг",2024,январь,550.09,2024-01-01
85,"Свинина бескостная, кг",2024,февраль,547.24,2024-02-01
86,"Свинина бескостная, кг",2024,март,545.74,2024-03-01
87,"Свинина бескостная, кг",2024,апрель,552.16,2024-04-01
88,"Свинина бескостная, кг",2024,май,552.2,2024-05-01
89,"Свинина бескостная, кг",2024,июнь,553.25,2024-06-01
90,"Свинина бескостная, кг",2024,июль,555.25,2024-07-01
91,"Свинина бескостная, кг",2024,август,554.09,2024-08-01
92,"Свинина бескостная, кг",2024,сентябрь,550.56,2024-09-01
93,"Свинина бескостная, кг",2024,октябрь,560.38,2024-10-01
94,"Свинина бескостная, кг",2024,ноябрь,561.25,2024-11-01
95,"Свинина бескостная, кг",2024,декабрь,576.11,2024-12-01
96,"Свинина бескостная, кг",2025,январь,599.6,2025-01-01
97,"Свинина бескостная, кг",2025,февраль,599.4,2025-02-01
98,"Свинина бескостная, кг",2025,март,599.81,2025-03-01
99,"Свинина бескостная, кг",2025,апрель,597.4,2025-04-01
100,"Свинина бескостная, кг",2025,май,594.22,2025-05-01
101,"Свинина бескостная, кг",2025,июнь,594.53,2025-06-01
102,"Свинина бескостная, кг",2025,июль,596.49,2025-07-01
103,"Свинина бескостная, кг",2025,август,613.42,2025-08-01
104,"Свинина бескостная, кг",2025,сентябрь,624.12,2025-09-01
105,"Мясо индейки, кг",2024,январь,466.32,2024-01-01
106,"Мясо индейки, кг",2024,февраль,466.96,2024-02-01
107,"Мясо индейки, кг",2024,март,482.24,2024-03-01
108,"Мясо индейки, кг",2024,апрель,481.96,2024-04-01
109,"Мясо индейки, кг",2024,май,487.01,2024-05-01
110,"Мясо индейки, кг",2024,июнь,487.67,2024-06-01
111,"Мясо индейки, кг",2024,июль,488.23,2024-07-01
112,"Мясо индейки, кг",2024,август,489.09,2024-08-01
113,"Мясо индейки, кг",2024,сентябрь,486.53,2024-09-01
114,"Мясо индейки, кг",2024,октябрь,501.46,2024-10-01
115,"Мясо индейки, кг",2024,ноябрь,516.19,2024-11-01
116,"Мясо индейки, кг",2024,декабрь,520.79,2024-12-01
117,"Мясо индейки, кг",2025,январь,579.25,2025-01-01
118,"Мясо индейки, кг",2025,февраль,618.35,2025-02-01
119,"Мясо индейки, кг",2025,март,633.11,2025-03-01
120,"Мясо индейки, кг",2025,апрель,633.93,2025-04-01
121,"Мясо индейки, кг",2025,май,629.85,2025-05-01
122,"Мясо индейки, кг",2025,июнь,679.73,2025-06-01
123,"Мясо индейки, кг",2025,июль,679.73,2025-07-01
124,"Мясо индейки, кг",2025,август,680.19,2025-08-01
125,"Мясо индейки, кг",2025,сентябрь,662.74,2025-09-01
126,"Колбаса вареная, кг",2024,январь,813.89,2024-01-01
127,"Колбаса вареная, кг",2024,февраль,834.41,2024-02-01
128,"Колбаса вареная, кг",2024,март,840.26,2024-03-01
129,"Колбаса вареная, кг",2024,апрель,843.68,2024-04-01
130,"Колбаса вареная, кг",2024,май,845.76,2024-05-01
131,"Колбаса вареная, кг",2024,июнь,857.28,2024-06-01
132,"Колбаса вареная, кг",2024,июль,865.73,2024-07-01
133,"Колбаса вареная, кг",2024,август,877.02,2024-08-01
134,"Колбаса вареная, кг",2024,сентябрь,902.68,2024-09-01
135,"Колбаса вареная, кг",2024,октябрь,922.01,2024-10-01
136,"Колбаса вареная, кг",2024,ноябрь,915.86,2024-11-01
137,"Колбаса вареная, кг",2024,декабрь,926.13,2024-12-01
138,"Колбаса вареная, кг",2025,январь,925.89,2025-01-01
139,"Колбаса вареная, кг",2025,февраль,914.36,2025-02-01
140,"Колбаса вареная, кг",2025,март,936.3,2025-03-01
141,"Колбаса вареная, кг",2025,апрель,972.14,2025-04-01
142,"Колбаса вареная, кг",2025,май,982.43,2025-05-01
143,"Колбаса вареная, кг",2025,июнь,974.25,2025-06-01
144,"Колбаса вареная, кг",2025,июль,982.7,2025-07-01
145,"Колбаса вареная, кг",2025,август,970.19,2025-08-01
146,"Колбаса вареная, кг",2025,сентябрь,979.15,2025-09-01
147,"Сосиски, сардельки, кг",2024,январь,756.25,2024-01-01
148,"Сосиски, сардельки, кг",2024,февраль,766.27,2024-02-01
149,"Сосиски, сардельки, кг",2024,март,744.14,2024-03-01
150,"Сосиски, сардельки, кг",2024,апрель,765.13,2024-04-01
151,"Сосиски, сардельки, кг",2024,май,781.87,2024-05-01
152,"Сосиски, сардельки, кг",2024,июнь,784.65,2024-06-01
153,"Сосиски, сардельки, кг",2024,июль,784.65,2024-07-01
154,"Сосиски, сардельки, кг",2024,август,795.83,2024-08-01
155,"Сосиски, сардельки, кг",2024,сентябрь,811.54,2024-09-01
156,"Сосиски, сардельки, кг",2024,октябрь,814.79,2024-10-01
157,"Сосиски, сардельки, кг",2024,ноябрь,814.53,2024-11-01
158,"Сосиски, сардельки, кг",2024,декабрь,826.14,2024-12-01
159,"Сосиски, сардельки, кг",2025,январь,829.08,2025-01-01
160,"Сосиски, сардельки, кг",2025,февраль,843.86,2025-02-01
