territory_id,min_time_to_hub
1953,0.0
1969,0.0
1957,0.6
1955,0.635
1956,0.6615384615384615
1958,0.7183333333333333
1960,0.7230769230769231
1970,0.8033333333333332
1966,1.3846153846153846
1968,2.498
847,2.576
1954,2.888
1961,3.076
842,3.19
1959,3.276923076923077
1962,3.472
1967,3.8179999999999996
775,3.904
872,4.3740000000000006
1963,4.430769230769231
608,4.636
1965,5.553846153846154
666,9.02
1597,10.29
3008,15.282
1964,21.51833333333333
